2024_RANK,2023_RANK,Institution_Name,Location,Location.1,SIZE,FOCUS,RES.,STATUS,AR_SCORE,AR_RANK,ER_SCORE,ER_RANK,FS_SCORE,FS_RANK,CF_SCORE,CF_RANK,IF_SCORE,IF_RANK,IS_SCORE,IS_RANK,IRN_SCORE,IRN_RANK,EO_SCORE,EO_RANK,S_Score,S_Rank,OVERALL_SCORE,2023_RANK_ORIGINAL,2024_RANK_ORIGINAL,Is_Rank_Range
46,36,Kyoto University,JP,Japan,L,FC,VH,A,98.7,20,99.1,14,94.7,63,49.3,270,14.9,670,20.8,538,57.3,266,53.2,118,88.4,103=,76.3,36,46,FALSE
47,61,Delft University of Technology,NL,Netherlands,L,CO,VH,A,73,84,79,73,36.9,428,84.9,95,100,66,89.3,121,91.4,72,42.1,170,98.4,18=,76.2,61,47,FALSE
47,32,Northwestern University,US,United States,L,FC,VH,B,83.8,60,60.2,132,98.9,39,70.3,147,48.2,364,44.2,327,79.2,152,97.7,19,78,162,76.2,32,47,FALSE
47,38,The Chinese University of Hong Kong (CUHK),HK,Hong Kong SAR,L,FC,VH,A,88.4,50,46.3,190,60,236,92.3,67,100,57,77.1,174,32.7,438,78.6,53,61.3,246=,76.2,38,47,FALSE
50,34,Fudan University,CN,China (Mainland),XL,FC,VH,A,84.7,55,89.8,49,84.5,108,72.4,136,88.3,193,33,393,22.7,522,49.6,134,43.8,341,74.4,34,50,FALSE
51,46,Shanghai Jiao Tong University,CN,China (Mainland),XL,FC,VH,A,83.7,61,83.3,64,54.7,279,99.4,15,39.2,415,35.5,377,38.3,390,55.5,113,44.1,339=,74.3,46,51,FALSE
52,52,Carnegie Mellon University,US,United States,L,FC,VH,B,71.2,87,75.3,83,49.1,319,99.9,10,46.6,371,98.2,59,57.4,264,60,100,47.2,323=,73.7,52,52,FALSE
53,58,University of Amsterdam,NL,Netherlands,XL,FC,VH,A,83.6,62,44.2,203,21.2,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,226=,73.4,58,53,FALSE
54,59,Ludwig-Maximilians-Universität München,DE,Germany,XL,FC,VH,A,92.7,40,83.5,63,46.7,335,51.4,254,73.3,260,37.7,362,94.4,57,48.5,140,77.3,167=,72.5,59,54,FALSE
55,61,University of Bristol,UK,United Kingdom,L,FC,VH,A,74.9,78,84.7,60,47.3,331,64.7,179,85.5,205,86.8,136,84.4,122,39.6,181,81.3,141,72.4,61,55,FALSE
56,42,KAIST - Korea Advanced Institute of Science & Technology,KR,South Korea,M,CO,VH,A,89.9,44,88.8,53,66.2,202,97.7,35,22.3,570,11.6,682,10.6,662,41.8,174,14.2,621=,72.2,42,56,FALSE
57,50,Duke University,US,United States,L,FC,VH,B,85.7,53,69.3,106,100,7,40.2,344,16.8,634,52.2,278,90,82,89.3,37,95,53=,72,50,57,FALSE
58,72,University of Texas at Austin,US,United States,XL,FC,VH,A,93.5,35,83.2,65,8.9,701+,86.7,85,9.3,701+,11,691,79.4,147,70,73,77.7,163=,71.8,72,58,FALSE
59,60,Sorbonne University,FR,France,XL,FC,VH,A,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100,4,39.5,182,75.8,171=,71.7,60,59,FALSE
60,40,The Hong Kong University of Science and Technology,HK,Hong Kong SAR,M,CO,VH,A,83.3,63,42.6,216,53.6,289,99.1,20,100,19,91.4,111,5.3,701+,50.3,131,31,432=,71.1,40,60,FALSE
61,76,KU Leuven,BE,Belgium,XL,FC,VH,A,84.6,56,42.4,220,7,701+,92.7,66,93.1,163,45.7,318,99.9,6,56.1,111,75.6,173=,70.1,76,61,FALSE
62,53,"University of California, San Diego (UCSD)",US,United States,XL,FC,VH,A,89.1,47,50.4,167,49.6,313,74.3,130,68.1,285,51.3,282,94.9,55,17.7,471,72.5,189=,70,53,62,FALSE
63,80,University of Washington,US,United States,XL,FC,VH,A,84,58,50.4,168,19.1,692,93.5,62,19,600,33.2,392,94,59,70,74,88.1,106=,69.2,80,63,FALSE
64,85,University of Illinois at Urbana-Champaign,US,United States,XL,FC,VH,A,85,54,70.8,100,7.5,701+,86.5,86,11.1,701+,49.2,303,76.4,164,66,84,83.5,128=,69.1,85,64,FALSE
65,65,The Hong Kong Polytechnic University,HK,Hong Kong SAR,L,CO,VH,A,68.1,97,30.2,323,68,192,88.8,77,100,40,87.4,133,42,362,49.2,138,92.8,73,68.7,65,65,FALSE
65,70,Universiti Malaya (UM),MY,Malaysia,L,FC,VH,A,81.2,68,96,34,71.6,178,32.7,416,52.8,346,58.9,254,79.3,148,28.1,286,93.4,68,68.7,70,65,FALSE
67,64,The University of Warwick,UK,United Kingdom,L,FC,VH,A,71.3,86,88,56,37.3,420,49,275,98.2,109,99.3,47,89.7,87,47.2,148,62.5,239=,68.6,64,67,FALSE
68,87,The University of Auckland,NZ,New Zealand,L,FC,VH,A,81.6,65,40.8,231,19.3,687,61.7,198,100,68,91.6,108,64.4,220,94.3,28,99.6,9,68,87,68,FALSE
69,77,National Taiwan University (NTU),TW,Taiwan,XL,FC,VH,A,92.8,39,91.3,46,30.9,508,47,288,17.7,619,20,547,33.2,431,99.7,12,95.6,49,67.9,77,69,FALSE
70,54,City University of Hong Kong,HK,Hong Kong SAR,M,CO,VH,A,59.6,122,27.3,356,86.6,99,99.9,9,100,17,100,2,17.4,570,29.5,269,82.1,136,67.7,54,70,FALSE
71,69,Université Paris-Saclay,FR,France,XL,CO,VH,A,58.9,128,99.1,13,99.8,25,45.8,294,39.1,416,60.8,244,98.7,17,34.3,224,73.6,182=,67.6,69,71,FALSE
72,90,The University of Western Australia,AU,Australia,L,FC,VH,A,56.2,138,44.6,200,16.5,701+,98.9,23,100,29,99.8,34,90,83,66,82,70.1,204=,66.9,90,72,FALSE
73,63,Brown University,US,United States,M,FC,VH,B,58.3,131,42.4,221,77.8,145,85.9,89,84.5,212,52,279,58.3,258,74.8,59,70.4,201=,66.4,63,73,FALSE
73,89,KTH Royal Institute of Technology ,SE,Sweden,L,CO,VH,A,45.7,181,51.1,162,66.2,201,90.2,74,93.2,162,68.1,217,80.7,142,56.9,108,96.1,44=,66.4,89,73,FALSE
75,86,University of Leeds,UK,United Kingdom,XL,FC,VH,A,70.3,89,76.7,77,37.3,421,42.3,320,85.2,208,90,118,98.7,16,37.8,193,90.9,88,65.5,86,75,FALSE
76,81,University of Glasgow,UK,United Kingdom,XL,FC,VH,A,76.3,77,70.7,101,41.7,377,31.8,423,96,143,99.5,41,90,80,26.7,306,99.5,11,65.2,81,76,FALSE
76,73,Yonsei University,KR,South Korea,L,FC,VH,B,80,72,96.3,31,87.4,97,36.2,385,19.6,594,49.7,298,25,498,70.9,69,38.1,377=,65.2,73,76,FALSE
78,92,Durham University,UK,United Kingdom,L,FC,VH,A,59.5,124,89.3,50,27.8,548,53.3,241,97.5,125,86.9,135,86.2,108,29.2,274,97.6,30=,65.1,92,78,FALSE
79,74,Korea University,KR,South Korea,L,FC,VH,B,82.2,64,94,40,81,137,36.6,382,13.6,694,36.3,370,19.6,546,70.6,71,58.6,255=,64.7,74,79,FALSE
80,68,Osaka University,JP,Japan,L,FC,VH,A,81.3,67,89.1,51,55.3,272,62.7,191,28.6,498,13.2,658,26.7,486,23.4,361,58.6,255=,63.9,68,80,FALSE
81,98,"Trinity College Dublin, The University of Dublin",IE,Ireland,L,FC,VH,A,69.3,92,39.8,238,23.7,601,64.1,184,99.8,79,92.5,104,82.2,132,70.6,70,75.6,173=,63.5,98,81,FALSE
81,78,University of Southampton,UK,United Kingdom,L,FC,VH,A,51.5,154,51.2,160,52.8,298,71.4,140,96.1,138,97.4,70,97,31,32.5,235,82.7,133=,63.5,78,81,FALSE
83,93,Pennsylvania State University,US,United States,XL,FC,VH,A,77.5,76,63,126,28.4,540,62.9,189,23.4,560,26.8,449,96.6,36,47.5,145,95.1,52,63.1,93,83,FALSE
